cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_epochs,model_options,evidence,literature
SPECK32/64,ARX,ARX-RoundStatsOnly-CarryChainPlus-r6-control,arx_round_stats_pairset,arx_carry_run_mixer_r7r8,0,176,6,0,32768,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,,0,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r6 sanity control using density-style public ARX carrychain-plus statistics,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryPositionStats-r6-control,arx_carry_position_stats_pairset,arx_carry_run_mixer_r7r8,1,190,6,0,32768,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,,0,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r6 carry-position statistics control preserving carry bit-position/run-length/rotation-correlation evidence,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryRunMixer-r6,arx_carry_run_mixer_pairset,arx_carry_run_mixer_r7r8,2,206,6,0,32768,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,,0,"{""token_dim"":64,""mixer_depth"":3,""token_mlp_ratio"":2,""kernel_size"":3,""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r6 carry-run sequence model over public carrychain-plus bit-position tokens,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-RoundStatsOnly-CarryChainPlus-r7-control,arx_round_stats_pairset,arx_carry_run_mixer_r7r8,0,176,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 density-style public ARX carrychain-plus statistics control,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-RoundStatsOnly-CarryChainPlus-r7-control,arx_round_stats_pairset,arx_carry_run_mixer_r7r8,0,176,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 density-style public ARX carrychain-plus statistics control,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryPositionStats-r7-control,arx_carry_position_stats_pairset,arx_carry_run_mixer_r7r8,1,190,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 carry-position statistics control preserving carry bit-position/run-length/rotation-correlation evidence,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryPositionStats-r7-control,arx_carry_position_stats_pairset,arx_carry_run_mixer_r7r8,1,190,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 carry-position statistics control preserving carry bit-position/run-length/rotation-correlation evidence,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryRunMixer-r7,arx_carry_run_mixer_pairset,arx_carry_run_mixer_r7r8,2,206,7,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""token_dim"":64,""mixer_depth"":3,""token_mlp_ratio"":2,""kernel_size"":3,""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 carry-run sequence model over public carrychain-plus bit-position tokens under multi-key protocol,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-CarryRunMixer-r7,arx_carry_run_mixer_pairset,arx_carry_run_mixer_r7r8,2,206,7,1,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""token_dim"":64,""mixer_depth"":3,""token_mlp_ratio"":2,""kernel_size"":3,""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 carry-run sequence model over public carrychain-plus bit-position tokens under multi-key protocol,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
SPECK32/64,ARX,ARX-RoundStatsOnly-CarryChainPlus-r8-boundary-control,arx_round_stats_pairset,arx_carry_run_mixer_r7r8,0,176,8,0,65536,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_plus_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adamw,0.0001,cyclic,0.002,val_auc,true,0,0.0,6,4,"{""stats_hidden_bits"":256,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r8 boundary density-style public ARX carrychain-plus statistics control,Gohr 2019 SPECK32 neural differential cryptanalysis; Innovation 1 ARX carry-run sequence adaptation
