cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_epochs,model_options,evidence,literature
SPECK32/64,ARX,Gohr-ResNet-SPECK-Depth10,gohr_resnet_speck_depth10,arx_gohr_protocol_alignment_smoke,0,140,6,0,16384,1,ciphertext_pair_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,,0,"{}",SPECK32 Gohr-style single-pair depth10 baseline under the same remote validation gate,Gohr 2019 SPECK neural distinguisher; protocol alignment baseline for Innovation 1 ARX
SPECK32/64,ARX,Gohr-ResNet-SPECK-Depth10,gohr_resnet_speck_depth10,arx_gohr_protocol_alignment_smoke,0,140,7,0,16384,1,ciphertext_pair_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,3,"{}",SPECK32 Gohr-style single-pair depth10 r7 baseline with r6 curriculum,Gohr 2019 SPECK neural distinguisher; protocol alignment baseline for Innovation 1 ARX
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-Raw,structure_adaptive_pairset_dbitnet,arx_gohr_protocol_alignment_smoke,1,125,6,0,16384,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,,0,"{}",SPECK32 multi-pair raw pair-xor structure-adaptive baseline under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX multi-pair structure adaptation
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-Raw,structure_adaptive_pairset_dbitnet,arx_gohr_protocol_alignment_smoke,1,125,7,0,16384,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,3,"{}",SPECK32 multi-pair raw pair-xor r7 baseline with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX multi-pair structure adaptation
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse,structure_adaptive_pairset_dbitnet,arx_gohr_protocol_alignment_smoke,2,130,6,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,,0,"{}",SPECK32 public partial-inverse feature baseline under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse structure adaptation
SPECK32/64,ARX,StructureAdaptive-PairSet-DBitNet-PartialInverse,structure_adaptive_pairset_dbitnet,arx_gohr_protocol_alignment_smoke,2,130,7,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,3,"{}",SPECK32 public partial-inverse r7 baseline with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse structure adaptation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX,arx_round_function_hybrid_pairset,arx_gohr_protocol_alignment_smoke,3,135,6,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,,0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":48,""mixer_depth"":2,""group_mixer_depth"":1,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 round-function hybrid RX model under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX RX/partial-inverse role grouping
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX,arx_round_function_hybrid_pairset,arx_gohr_protocol_alignment_smoke,3,135,7,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,3,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":48,""mixer_depth"":2,""group_mixer_depth"":1,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 round-function hybrid RX r7 with r6 curriculum under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX RX/partial-inverse role grouping
SPECK32/64,ARX,ARX-RoundFunctionHybrid-CarryChain,arx_round_function_hybrid_pairset,arx_gohr_protocol_alignment_smoke,4,138,6,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,,0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":48,""mixer_depth"":2,""group_mixer_depth"":1,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 round-function hybrid carry-chain model under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public carry-chain role grouping
SPECK32/64,ARX,ARX-RoundFunctionHybrid-CarryChain,arx_round_function_hybrid_pairset,arx_gohr_protocol_alignment_smoke,4,138,7,0,16384,4,ciphertext_pair_xor_arx_partial_inverse_rx_carrychain_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,3,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":48,""mixer_depth"":2,""group_mixer_depth"":1,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 round-function hybrid carry-chain r7 with r6 curriculum under Gohr profile,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public carry-chain role grouping
