cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_epochs,model_options,evidence,literature
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,0,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,1,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,2,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,3,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,4,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,5,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,6,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,7,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,8,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
SPECK32/64,ARX,ARX-RoundFunctionHybrid-RX-r7-confirm,arx_round_function_hybrid_pairset,arx_round_function_hybrid_rx_confirm,0,127,7,9,131072,4,ciphertext_pair_xor_arx_partial_inverse_rx_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""group_mixer_depth"":2,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 ARX round-function hybrid 10-seed confirmation over explicit public RX partial-inverse and carry role groups with r6 curriculum,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX public partial-inverse RX/carry role grouping; multi-key key_rotation_interval=1024 confirmation
