cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r7,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,7,0,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r7,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,7,1,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r7,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,7,2,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r7,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,7,3,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r8,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,8,0,262144,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r8 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r8,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,8,1,262144,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r8 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r8,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,8,2,262144,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r8 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-topk-r8,arx_word_mixer_pairset,arx_word_mixer_v2_topk,0,110,8,3,262144,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r8 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-attn-r7,arx_word_mixer_pairset,arx_word_mixer_v2_attention,0,110,7,0,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""attention_mean_max"",""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
SPECK32/64,ARX,ARX-WordMixer-v2-attn-r7,arx_word_mixer_pairset,arx_word_mixer_v2_attention,0,110,7,1,131072,4,ciphertext_pair_xor_arx_partial_inverse_bits,encrypted_random_plaintexts,0x1918111009080100,0x0f0e0d0c0b0a0908,1024,independent_pairs,0,speck32_gohr2019,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""attention_mean_max"",""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",SPECK32 r7 ARX word/rotation/carry-aware mixer over keyless partial-inverse v2 feature,Gohr 2019 SPECK neural distinguisher; Innovation 1 ARX keyless partial inverse; ARX word mixer
