cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
SM4,Feistel-like,MLP,mlp,baseline,9,0,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Capacity-matched feed-forward baseline,Yu/Wu/Zhang 2023 SM4 Conv-ResNet profile
SM4,Feistel-like,Adaptive-DBitNet,adaptive_dbitnet,adaptive_dilated_cnn,5,18,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Input-width adaptive DBitNet-style baseline,Bellini-style adaptive dilation
SM4,Feistel-like,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Shared pair encoder with mean+max pooling for multi-pair organization,Multi-pair neural distinguisher / DBitNet-style
SM4,Feistel-like,ResNet-BitSlice,resnet_bitslice,residual_bitslice,4,21,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Residual bit-slice expert for ARX-like ciphertext bits,Gohr 2019 inspired
SM4,Feistel-like,SE-ResNeXt,senet_resnext,channel_attention,3,22,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,SENet/ResNeXt expert for SPN-like channel selection,SENet/ResNeXt neural distinguisher literature
SM4,Feistel-like,MultiScale-Dense-ResNet,multiscale_dense_resnet,multiscale_dense_residual,2,24,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Multi-scale dense residual expert for Feistel-like branch mixing,Conv/ResNet neural distinguisher literature
SM4,Feistel-like,MoE-v4-Hard,moe_v4_hard,structure_adapter_moe,6,20,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Structure-adapter MoE with hard routing,Innovation-one structure-aware MoE
SM4,Feistel-like,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,7,20,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
SM4,Feistel-like,Selector-Rule-v2,selector_rule_v2,explicit_structure_router,8,19,3,0,32768,1,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Explicit routing by pair organization and cipher structure,Innovation-one selector rule
SM4,Feistel-like,MLP,mlp,baseline,9,0,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Capacity-matched feed-forward baseline,Yu/Wu/Zhang 2023 SM4 Conv-ResNet profile
SM4,Feistel-like,Adaptive-DBitNet,adaptive_dbitnet,adaptive_dilated_cnn,5,18,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Input-width adaptive DBitNet-style baseline,Bellini-style adaptive dilation
SM4,Feistel-like,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Shared pair encoder with mean+max pooling for multi-pair organization,Multi-pair neural distinguisher / DBitNet-style
SM4,Feistel-like,ResNet-BitSlice,resnet_bitslice,residual_bitslice,4,21,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Residual bit-slice expert for ARX-like ciphertext bits,Gohr 2019 inspired
SM4,Feistel-like,SE-ResNeXt,senet_resnext,channel_attention,3,22,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,SENet/ResNeXt expert for SPN-like channel selection,SENet/ResNeXt neural distinguisher literature
SM4,Feistel-like,MultiScale-Dense-ResNet,multiscale_dense_resnet,multiscale_dense_residual,2,24,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Multi-scale dense residual expert for Feistel-like branch mixing,Conv/ResNet neural distinguisher literature
SM4,Feistel-like,MoE-v4-Hard,moe_v4_hard,structure_adapter_moe,6,20,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Structure-adapter MoE with hard routing,Innovation-one structure-aware MoE
SM4,Feistel-like,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,7,20,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
SM4,Feistel-like,Selector-Rule-v2,selector_rule_v2,explicit_structure_router,8,19,3,0,32768,2,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Explicit routing by pair organization and cipher structure,Innovation-one selector rule
SM4,Feistel-like,MLP,mlp,baseline,9,0,3,0,32768,4,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Capacity-matched feed-forward baseline,Yu/Wu/Zhang 2023 SM4 Conv-ResNet profile
SM4,Feistel-like,Adaptive-DBitNet,adaptive_dbitnet,adaptive_dilated_cnn,5,18,3,0,32768,4,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Input-width adaptive DBitNet-style baseline,Bellini-style adaptive dilation
SM4,Feistel-like,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,3,0,32768,4,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Shared pair encoder with mean+max pooling for multi-pair organization,Multi-pair neural distinguisher / DBitNet-style
SM4,Feistel-like,ResNet-BitSlice,resnet_bitslice,residual_bitslice,4,21,3,0,32768,4,ciphertext_pair_xor_bits,sm4_yu2023_conv_resnet,0,Residual bit-slice expert for ARX-like ciphertext bits,Gohr 2019 inspired
