cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,3,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,4,4,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,60,5,3,32768,4,ciphertext_pair_xor_spn_aligned_bits,present_wang_jain2021,0,Round-sweep validation for inverse-P aligned SPN inputs,Innovation-one SPN aligned input and token mixer validation
