cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,4,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,4,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,4,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,4,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,0,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,0,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,1,32768,1,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,1,32768,2,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,StructureAdaptive-PairSet-DBitNet,structure_adaptive_pairset_dbitnet,pairset_dilated_cnn,2,34,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Generic structure-conditioned pair-set baseline,Innovation-one structure-adaptive pair-set DBitNet
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,0,36,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
