cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_mean-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_mean,0,104,7,0,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_mean"",""top_k"":4,""lse_temperature"":1.0,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with topk_mean evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_mean-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_mean,0,104,7,1,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_mean"",""top_k"":4,""lse_temperature"":1.0,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with topk_mean evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_mean-r8,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_mean,0,104,8,0,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_mean"",""top_k"":4,""lse_temperature"":1.0,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r8 delta-only P-aligned TokenMixer with topk_mean evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_mean-r8,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_mean,0,104,8,1,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_mean"",""top_k"":4,""lse_temperature"":1.0,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r8 delta-only P-aligned TokenMixer with topk_mean evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-logsumexp-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_logsumexp,0,104,7,0,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-logsumexp-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_logsumexp,0,104,7,1,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-logsumexp-r8,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_logsumexp,0,104,8,0,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r8 delta-only P-aligned TokenMixer with logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-logsumexp-r8,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_logsumexp,0,104,8,1,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r8 delta-only P-aligned TokenMixer with logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_logsumexp-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_logsumexp,0,104,7,0,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with topk_logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
PRESENT-80,SPN,SPN-TokenMixer-DeltaPAligned-topk_logsumexp-r7,spn_token_mixer_pairset,spn_token_mixer_delta_paligned_topk_logsumexp,0,104,7,1,32768,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,"{""pooling"":""topk_logsumexp"",""top_k"":4,""lse_temperature"":0.75,""token_dim"":64,""mixer_depth"":4,""token_mlp_ratio"":2,""dropout"":0.0,""activation"":""gelu"",""norm"":""layernorm""}",PRESENT r7 delta-only P-aligned TokenMixer with topk_logsumexp evidence pooling for weak multi-pair signal,Zhang/Wang 2022 PRESENT MCND; multi-pair neural distinguisher; Innovation 1 evidence pooling
