cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,0,8192,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=4; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,1,8192,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=4; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,2,8192,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=4; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,0,8192,8,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=8; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,1,8192,8,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=8; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,2,8192,8,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=8; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,0,8192,16,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=16; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,1,8192,16,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=16; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,7,2,8192,16,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND protocol feature screen m=16; pair plus xor C0||C1||D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,6,0,8192,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND protocol feature screen m=4; pair plus xor plus inverse-P aligned D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,88,6,1,8192,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND protocol feature screen m=4; pair plus xor plus inverse-P aligned D,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one input protocol screen
