cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,0,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,1,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,2,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,3,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,4,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,5,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,6,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,7,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,8,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,9,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,7,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,0,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,1,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,1,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,1,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,82,7,2,16384,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,1,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral selected active nibble confirmation,Innovation-one P-layer aligned differential-integral selected-nibble confirmation; Wang/Jain PRESENT differential profile
