cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-GlobalMatrix-Raw-r7-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,0,118,7,0,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT r7 Raw global matrix protocol key-rotation=1 independent MCND confirmation seed 0,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-r7-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,0,118,7,1,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT r7 Raw global matrix protocol key-rotation=1 independent MCND confirmation seed 1,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-r7-s2,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,0,118,7,2,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT r7 Raw global matrix protocol key-rotation=1 independent MCND confirmation seed 2,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-r7-s3,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,0,118,7,3,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT r7 Raw global matrix protocol key-rotation=1 independent MCND confirmation seed 3,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-r7-s4,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,0,118,7,4,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT r7 Raw global matrix protocol key-rotation=1 independent MCND confirmation seed 4,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-r7-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,1,124,7,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 SPNAligned global matrix protocol key-rotation=1 independent MCND confirmation seed 0,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-r7-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,1,124,7,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 SPNAligned global matrix protocol key-rotation=1 independent MCND confirmation seed 1,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-r7-s2,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,1,124,7,2,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 SPNAligned global matrix protocol key-rotation=1 independent MCND confirmation seed 2,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-r7-s3,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,1,124,7,3,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 SPNAligned global matrix protocol key-rotation=1 independent MCND confirmation seed 3,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-r7-s4,present_inception_mcnd_global_matrix,present_protocol_spnaligned_r7_confirm_5seed,1,124,7,4,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 SPNAligned global matrix protocol key-rotation=1 independent MCND confirmation seed 4,Zhang/Wang 2022 Case2 PRESENT Inception-MCND differential-neural distinguisher; Innovation 1 SPN P-layer inverse alignment high-round confirmation
