cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-GlobalMatrix-Raw-Independent-r6-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,118,6,0,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration raw global matrix independent-pair r6 seed0,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-Independent-r6-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,118,6,1,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration raw global matrix independent-pair r6 seed1,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-Independent-r7-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,118,7,0,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration raw global matrix independent-pair r7 seed0,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation
PRESENT-80,SPN,Present-GlobalMatrix-Raw-Independent-r7-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,118,7,1,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration raw global matrix independent-pair r7 seed1,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-Independent-r6-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,122,6,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration SPN-aligned global matrix independent-pair r6 seed0,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-Independent-r6-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,122,6,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration SPN-aligned global matrix independent-pair r6 seed1,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-Independent-r7-s0,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,122,7,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration SPN-aligned global matrix independent-pair r7 seed0,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-GlobalMatrix-SPNAligned-Independent-r7-s1,present_inception_mcnd_global_matrix,present_protocol_spnaligned_scale_m,0,122,7,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT protocol calibration SPN-aligned global matrix independent-pair r7 seed1,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-Matrix-SPNAligned-Independent-r6-s0,present_inception_mcnd_matrix,present_protocol_spnaligned_scale_m,1,120,6,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT protocol calibration SPN-aligned pair-matrix independent-pair r6 seed0,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-Matrix-SPNAligned-Independent-r6-s1,present_inception_mcnd_matrix,present_protocol_spnaligned_scale_m,1,120,6,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT protocol calibration SPN-aligned pair-matrix independent-pair r6 seed1,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-Matrix-SPNAligned-Independent-r7-s0,present_inception_mcnd_matrix,present_protocol_spnaligned_scale_m,1,120,7,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT protocol calibration SPN-aligned pair-matrix independent-pair r7 seed0,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
PRESENT-80,SPN,Present-Matrix-SPNAligned-Independent-r7-s1,present_inception_mcnd_matrix,present_protocol_spnaligned_scale_m,1,120,7,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,zhang_wang_case2_independent_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT protocol calibration SPN-aligned pair-matrix independent-pair r7 seed1,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation
