cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAlignedSInv-r6,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_sinv,0,101,6,0,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r6 sanity gate for public InvP+InvS structural partial-inverse feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAlignedSInv-r6,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_sinv,0,101,6,1,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r6 sanity gate for public InvP+InvS structural partial-inverse feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAlignedSInv-r7,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_sinv,0,101,7,0,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 test for public InvP+InvS structural partial-inverse feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAlignedSInv-r7,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_sinv,0,101,7,1,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 test for public InvP+InvS structural partial-inverse feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-GlobalMatrix-SPNAlignedSInv-r6,present_inception_mcnd_global_matrix,present_inception_mcnd_global_matrix_spn_sinv,0,101,6,0,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r6 global-matrix sanity gate for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-GlobalMatrix-SPNAlignedSInv-r6,present_inception_mcnd_global_matrix,present_inception_mcnd_global_matrix_spn_sinv,0,101,6,1,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r6 global-matrix sanity gate for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-GlobalMatrix-SPNAlignedSInv-r7,present_inception_mcnd_global_matrix,present_inception_mcnd_global_matrix_spn_sinv,0,101,7,0,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 global-matrix test for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-GlobalMatrix-SPNAlignedSInv-r7,present_inception_mcnd_global_matrix,present_inception_mcnd_global_matrix_spn_sinv,0,101,7,1,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,8]],""blocks"":3,""dropout"":0.0}",PRESENT r7 global-matrix test for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-PairStackMatrix-SPNAlignedSInv-r6,present_inception_mcnd_pair_stack_matrix,present_inception_mcnd_pair_stack_matrix_spn_sinv,0,101,6,0,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0}",PRESENT r6 pair-stack sanity gate for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
PRESENT-80,SPN,Present-Inception-MCND-PairStackMatrix-SPNAlignedSInv-r6,present_inception_mcnd_pair_stack_matrix,present_inception_mcnd_pair_stack_matrix_spn_sinv,0,101,6,1,32768,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":3,""dropout"":0.0}",PRESENT r6 pair-stack sanity gate for public InvP+InvS feature,Zhang/Wang 2022 PRESENT MCND; Innovation 1 public SPN partial-inverse feature
