cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_epochs,model_options,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,0,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,1,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,2,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,3,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,4,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,5,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,6,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,7,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,8,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SInv-r7-StrictConfirm,present_inception_mcnd_matrix,present_sinv_strict_r7r8_confirm,0,176,7,9,65536,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0xffffffffffffffffffff,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,1e-05,cyclic,0.002,val_auc,true,0,0.0,6,6,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}",PRESENT r7 strict multi-key confirmation for public InvP plus InvS structural partial-inverse feature after r6 curriculum,Zhang/Wang 2022 PRESENT MCND; public InvP+InvS structural approximation; Innovation 1 SPN structure-adaptive partial-inverse high-round confirmation
