cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,0,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,1,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,2,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,3,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,4,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,5,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,6,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,7,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,8,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
PRESENT-80,SPN,Present-Inception-MCND-Matrix-Raw-Control-r6-10seed,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_ablation,0,99,6,9,32768,16,present_mcnd_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r6 10-seed ablation for raw C,Cprime cell matrix control; same ZW2022 Case2 MCND protocol",Zhang/Wang 2022 PRESENT MCND baseline; Innovation 1 SPN-aware inverse-P alignment ablation
