cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,2,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N65536,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,0,65536,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=65536",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N65536,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,1,65536,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=65536",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B2-N65536,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned,0,100,7,2,65536,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4]],""blocks"":2,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=65536",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B4-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_deep,0,100,7,0,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":4,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B4-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_deep,0,100,7,1,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":4,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B4-N32768,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_deep,0,100,7,2,32768,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":4,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=32768",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
PRESENT-80,SPN,Present-Inception-MCND-Matrix-SPNAligned-r7-B4-N65536,present_inception_mcnd_matrix,present_inception_mcnd_matrix_spn_aligned_deep,0,100,7,0,65536,16,present_pair_xor_paligned_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,zhang_wang_case2_mcnd,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,cyclic,0.002,val_loss,true,0,0.0,"{""kernel_sizes"":[[1,1],[1,2],[2,4],[4,4]],""blocks"":4,""dropout"":0.0,""pooling"":""attention_mean_max""}","PRESENT r7 targeted SPN-aligned MCND screen with present_inception_mcnd_matrix, samples_per_class=65536",Zhang/Wang 2022 PRESENT MCND; Innovation 1 SPN-aware inverse-P alignment and matrix-layout screen
