cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,2,36,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,SPN-NibbleConv-PairSet,spn_nibble_conv_pairset,spn_nibble_conv_pairset,3,34,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Position-preserving nibble convolution before pair-set pooling,Innovation-one SPN nibble-conv negative/diagnostic ablation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer_pairset,0,40,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Nibble token encoder with learned position embedding and token mixing for S-box/P-layer locality,Innovation-one SPN token-mixer expert
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,4,20,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Shared pair encoder with mean+max pooling baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,SPN-Cell-PairSet-DBitNet-v2,spn_pairset_dbitnet_v2,spn_cell_pairset_dbitnet,2,36,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Explicit 4-bit cell encoder for PRESENT/SPN S-box locality,Innovation-one SPN-specific PairSet DBitNet v2
PRESENT-80,SPN,SPN-NibbleConv-PairSet,spn_nibble_conv_pairset,spn_nibble_conv_pairset,3,34,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Position-preserving nibble convolution before pair-set pooling,Innovation-one SPN nibble-conv negative/diagnostic ablation
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer_pairset,0,40,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Nibble token encoder with learned position embedding and token mixing for S-box/P-layer locality,Innovation-one SPN token-mixer expert
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,4,20,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure-adapter MoE with soft routing,Innovation-one structure-aware MoE
