filename,title,year,category,structure,network_or_method,relevance_to_innovation_one,url,status,notes
2019_gohr_speck32_deep_learning.pdf,Improving Attacks on Round-Reduced Speck32/64 Using Deep Learning,2019,Core neural differential cryptanalysis,ARX/SPECK,Residual neural distinguisher,ARX baseline and starting point for ResNet-BitSlice,https://eprint.iacr.org/2019/037.pdf,downloaded,Core first-read paper.
2020_performance_comparison_deep_learning_conventional_distinguishers.pdf,Performance Comparison Between Deep Learning-Based and Conventional Cryptographic Distinguishers,2020,Comparison baseline,ARX-like TEA/RAIDEN,MLP/CNN-style ML distinguishers,Supports comparison with conventional distinguishers and non-SPECK ARX-like ciphers,https://eprint.iacr.org/2020/953.pdf,downloaded,Useful for background and metrics.
2020_baksi_machine_learning_assisted_differential_distinguishers.pdf,Machine Learning Assisted Differential Distinguishers For Lightweight Ciphers,2020,Lightweight cipher distinguishers,Lightweight/various,ML-assisted differential distinguishers,Supports lightweight cipher extension beyond SPECK,https://eprint.iacr.org/2020/571.pdf,downloaded,Read for task construction ideas.
2020_jain_kohli_mishra_present_neural_distinguisher.pdf,Deep Learning based Differential Distinguisher for Lightweight Cipher PRESENT,2020,SPN/PRESENT,SPN/PRESENT,Deep learning differential distinguisher,Direct SPN baseline for PRESENT,https://eprint.iacr.org/2020/846.pdf,downloaded,High priority for SPN branch.
2020_hou_linear_attack_des_deep_learning.pdf,Linear Attack on Round-Reduced DES Using Deep Learning,2020,Feistel/DES,Feistel/DES,Deep-learning-assisted linear attack,Feistel-side evidence that DES-like structures need separate treatment,https://ndsiiecas.github.io/upload/publications/Linear%20Attack%20on%20Round-Reduced%20DES%20Using%20Deep%20Learning.pdf,downloaded,Use as Feistel related work.
2020_chen_yu_neural_aided_statistical_attack_eprint.pdf,Neural Aided Statistical Attack for Cryptanalysis,2020,Neural-aided statistical attack,SPECK/DES,Neural distinguisher plus statistical attack,Connects neural distinguishers to attack pipelines and metrics,https://eprint.iacr.org/2020/1620.pdf,downloaded,Useful for evaluation protocol.
2021_benamira_deeper_look_ml_cryptanalysis.pdf,A Deeper Look at Machine Learning-Based Cryptanalysis,2021,Mechanism and interpretability,ARX/SPECK,Analysis of learned features,Explains what Gohr-style models learn; supports evidence-based matching,https://eprint.iacr.org/2021/287.pdf,downloaded,Core first-read paper.
2021_chen_multiple_ciphertext_pairs_neural_distinguisher.pdf,A New Neural Distinguisher Considering Features Derived from Multiple Ciphertext Pairs,2021,Input representation,SPECK,Multiple ciphertext-pair features,Shows input representation can change performance; supports structure-aware feature design,https://eprint.iacr.org/2021/310.pdf,downloaded,Read for multi-pair feature engineering.
2021_jain_kohli_mishra_present_simeck_neural_distinguisher.pdf,Deep Learning based Differential Distinguisher for Lightweight Block Ciphers,2021,SPN and ARX-like lightweight,SPN/PRESENT and SIMECK,Deep learning differential distinguisher,Useful bridge paper covering PRESENT and SIMECK,https://arxiv.org/pdf/2112.05061,downloaded,Compare SPN vs SIMECK handling.
2021_output_prediction_block_ciphers_deep_learning.pdf,Output Prediction Attacks on Block Ciphers using Deep Learning,2021,Adjacent output prediction,SPN/Feistel-like toy ciphers,LSTM/output prediction,Adjacent to innovation two; useful for structure/network discussion,https://eprint.iacr.org/2021/401.pdf,downloaded,Secondary for innovation one.
2022_enhancing_differential_neural_cryptanalysis.pdf,Enhancing Differential-Neural Cryptanalysis,2022,Enhanced differential-neural cryptanalysis,ARX/SPECK/SIMON,Conditional differential-neural cryptanalysis,Strong ARX/SIMON reference and attack integration,https://eprint.iacr.org/2021/719.pdf,downloaded,High priority for ARX branch.
2022_gohr_leander_neumann_assessment_differential_neural.pdf,An Assessment of Differential-Neural Distinguishers,2022,Evaluation methodology,Multiple block ciphers,Differential-neural assessment,Key source for avoiding weak claims and enforcing unified protocol,https://eprint.iacr.org/2022/1521.pdf,downloaded,Core first-read paper.
2022_lu_related_key_neural_distinguishers_simon_simeck.pdf,Improved (Related-key) Differential-based Neural Distinguishers for SIMON and SIMECK Block Ciphers,2022,AND-RX/SIMON/SIMECK,AND-RX/SIMON/SIMECK,Related-key differential neural distinguishers,Supports ARX/AND-RX branch and cross-structure limits,https://arxiv.org/pdf/2201.03767,downloaded,arXiv version.
2022_lu_related_key_neural_distinguishers_simon_simeck_eprint.pdf,Improved (Related-key) Differential-based Neural Distinguishers for SIMON and SIMECK Block Ciphers,2022,AND-RX/SIMON/SIMECK,AND-RX/SIMON/SIMECK,Related-key differential neural distinguishers,Same paper ePrint version,https://eprint.iacr.org/2022/030.pdf,downloaded,Duplicate source kept for citation checking.
