cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7947387695,0.0008544922,0.7991943359,0.0021362305,0.7991943359,0.0021362305,0.870453448,0.0012292964,0.5894775391,0.0017089844,0.5983886719,0.0042724609,0.6004918348,0.0113487225
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8362884521,0.0012664795,0.8455505371,0.0070495605,0.8455505371,0.0070495605,0.9148471616,0.0053949039,0.6725769043,0.002532959,0.6911010742,0.0140991211,0.5131342001,0.0242983606
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.837387085,0.0089569092,0.8509979248,0.0031890869,0.8509979248,0.0031890869,0.9207600979,0.0041804006,0.6747741699,0.0179138184,0.7019958496,0.0063781738,0.5816774108,0.0159031115
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5433807373,0.0037078857,0.5528869629,0.0006103516,0.5528869629,0.0006103516,0.5709310714,0.0019956715,0.0867614746,0.0074157715,0.1057739258,0.0012207031,1.0877447315,0.0296754502
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5503845215,0.0058898926,0.5636138916,0.0114898682,0.5636138916,0.0114898682,0.5832756655,0.0118916957,0.100769043,0.0117797852,0.1272277832,0.0229797363,1.0611076839,0.0135879256
PRESENT-80,SPN,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.5680541992,0.0129699707,0.5758361816,0.0089416504,0.5758361816,0.0089416504,0.6012677457,0.0128101651,0.1361083984,0.0259399414,0.1516723633,0.0178833008,1.1358119845,0.0992441624
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7902832031,0.0005493164,0.7989959717,0.0060272217,0.7989959717,0.0060272217,0.8699201681,0.0065789595,0.5805664062,0.0010986328,0.5979919434,0.0120544434,0.630442787,0.040655572
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8985595703,0.0020141602,0.9077758789,0.0021057129,0.9077758789,0.0021057129,0.9631878985,0.0009782044,0.7971191406,0.0040283203,0.8155517578,0.0042114258,0.3524880568,0.0020755948
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9726104736,0.0007171631,0.9736022949,0.0001831055,0.9736022949,0.0001831055,0.9950956628,0.0003092289,0.9452209473,0.0014343262,0.9472045898,0.0003662109,0.1118485474,0.000863563
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5414581299,0.0021820068,0.5491943359,0.005859375,0.5491943359,0.005859375,0.5655706692,0.009175621,0.0829162598,0.0043640137,0.0983886719,0.01171875,1.2665983401,0.0363306664
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.6397705078,0.0195007324,0.6808013916,0.0023040771,0.6808013916,0.0023040771,0.7402614327,0.0009097038,0.2795410156,0.0390014648,0.3616027832,0.0046081543,1.0045269504,0.1168688685
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7222442627,0.0111541748,0.77394104,0.0011749268,0.77394104,0.0011749268,0.8514438337,0.0016934583,0.4444885254,0.0223083496,0.5478820801,0.0023498535,0.7801981419,0.0078029633
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7293548584,0.0003814697,0.7314910889,0.0009002686,0.7314910889,0.0009002686,0.7907550195,0.0023361677,0.4587097168,0.0007629395,0.4629821777,0.0018005371,0.52429346,0.000891611
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.791229248,0.0008544922,0.7927856445,0.001159668,0.7927856445,0.001159668,0.865180321,0.0011377335,0.5824584961,0.0017089844,0.5855712891,0.0023193359,0.4441753626,0.0017869882
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.8448944092,0.0020599365,0.8457336426,0.0022888184,0.8457336426,0.0022888184,0.9204805978,0.0011159405,0.6897888184,0.004119873,0.6914672852,0.0045776367,0.3531439407,0.00219627
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5482025146,0.003036499,0.5566101074,0.0010681152,0.5566101074,0.0010681152,0.575555617,0.0027951449,0.0964050293,0.006072998,0.1132202148,0.0021362305,0.6842598356,0.0001354367
PRESENT-80,SPN,mlp,MLP,9,0,PRESENT neural distinguisher / Wang-Jain profile,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.5750274658,0.000289917,0.576965332,0.0004272461,0.576965332,0.0004272461,0.6053471528,0.0011333991,0.1500549316,0.000579834,0.1539306641,0.0008544922,0.6728218924,7.96299e-05
