cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,2,20,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,3,42,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Original trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft-HPO-Trial20,moe_v5_soft_hpo_present_best,structure_expert_moe_hpo_fixed,0,50,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Fixed HPO trial 20 best configuration for PRESENT multi-pair validation,Innovation-one MoE v5 component HPO
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,2,20,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,3,42,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Original trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft-HPO-Trial20,moe_v5_soft_hpo_present_best,structure_expert_moe_hpo_fixed,0,50,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Fixed HPO trial 20 best configuration for PRESENT multi-pair validation,Innovation-one MoE v5 component HPO
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,2,20,5,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,3,42,5,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Original trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft-HPO-Trial20,moe_v5_soft_hpo_present_best,structure_expert_moe_hpo_fixed,0,50,5,2,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Fixed HPO trial 20 best configuration for PRESENT multi-pair validation,Innovation-one MoE v5 component HPO
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,2,20,5,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,3,42,5,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Original trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft-HPO-Trial20,moe_v5_soft_hpo_present_best,structure_expert_moe_hpo_fixed,0,50,5,3,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Fixed HPO trial 20 best configuration for PRESENT multi-pair validation,Innovation-one MoE v5 component HPO
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,2,20,5,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,3,42,5,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Original trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft-HPO-Trial20,moe_v5_soft_hpo_present_best,structure_expert_moe_hpo_fixed,0,50,5,4,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Fixed HPO trial 20 best configuration for PRESENT multi-pair validation,Innovation-one MoE v5 component HPO
