trial_id,cipher,model,rounds,seed,trial_seeds,samples_per_class,pairs_per_sample,difference_profile,difference_member,calibrated_accuracy,calibrated_accuracy_std,accuracy,accuracy_std,auc,auc_std,loss,loss_std,gate_temperature,gate_hidden_bits,gate_activation,gate_dropout,pairwise_pooling,spn_token_dim,spn_mixer_depth,spn_token_mlp_ratio,expert_activation,expert_norm,spn_pooling,expert_dropout,learning_rate,weight_decay,optimizer,config_json
11,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.792236328125,0.001708984375,0.7775980631510416,0.014350575415386865,0.8707574326545,0.0011167873925890931,0.4828765196725726,0.04002757172765235,0.75,32,relu,0.05,mean,64,3,3,silu,rmsnorm,gated_attention,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 32, ""gate_temperature"": 0.75, ""hidden_bits"": 96, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
1,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7918294270833334,0.0013134381786159832,0.7560017903645834,0.050605435952328456,0.8697246288259824,0.0014865248840283832,0.5423932923004031,0.13132363422110294,1.0,32,silu,0.05,mean_max,96,4,2,gelu,rmsnorm,attention_mean_max,0.0,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 32, ""gate_temperature"": 1.0, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 4, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
6,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7914937337239584,0.001477609744065356,0.7834879557291666,0.00556804342900025,0.8693098941196998,0.0016634281534628956,0.4771753403668602,0.016416677663523095,1.5,96,relu,0.0,mean_max,96,3,3,gelu,rmsnorm,attention_mean_max,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.5, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
7,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7904764811197916,0.001155376860717829,0.7887369791666666,0.0005427783842754761,0.8685464604447285,0.0007319102925167171,0.45509919927765924,0.01006057022035172,1.5,64,silu,0.0,mean,64,2,2,silu,rmsnorm,gated_attention,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 64, ""gate_temperature"": 1.5, ""hidden_bits"": 64, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
2,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7904154459635416,0.002845563020663077,0.7752685546875,0.022402958050846883,0.8683971427381039,0.0012540618010061736,0.48975383831808966,0.055209927525003116,0.75,64,silu,0.05,mean_max,128,3,3,silu,rmsnorm,attention_mean_max,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 64, ""gate_temperature"": 0.75, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
10,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7885030110677084,0.000326314594163929,0.7848103841145834,0.0036652022123086015,0.8661396795262893,0.00156009963275014,0.46137929148972034,0.014063845616627105,1.5,96,relu,0.05,mean,128,2,2,gelu,rmsnorm,attention_mean_max,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.5, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
9,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7721455891927084,0.0016525580866132326,0.7652791341145834,0.0046193910064475,0.8488167816152176,0.0027511861650250952,0.5090376455336809,0.010105473840612078,0.75,64,silu,0.05,mean_max,64,4,3,silu,layernorm,attention_mean_max,0.05,0.0003,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.05, ""expert_norm"": ""layernorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 64, ""gate_temperature"": 0.75, ""hidden_bits"": 64, ""learning_rate"": 0.0003, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 4, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.001}"
5,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7702128092447916,0.006242492259339939,0.73974609375,0.04650906940686095,0.8461805166055759,0.00703501997308047,0.6014639083296061,0.12112708082779565,0.75,32,relu,0.05,mean_max,128,2,3,gelu,layernorm,attention_mean_max,0.05,0.0003,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.05, ""expert_norm"": ""layernorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 32, ""gate_temperature"": 0.75, ""hidden_bits"": 96, ""learning_rate"": 0.0003, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
4,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7697957356770834,0.009443518141865243,0.7452392578125,0.026389342289858203,0.8459971783061823,0.008600667705224909,0.5494276713579893,0.07633025512916262,1.0,32,silu,0.0,mean_max,96,2,2,silu,layernorm,attention_mean_max,0.0,0.0003,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.0, ""expert_norm"": ""layernorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 32, ""gate_temperature"": 1.0, ""hidden_bits"": 48, ""learning_rate"": 0.0003, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.0001}"
0,PRESENT-80,moe_v5_soft,5,"0,1,2","0,1,2",32768,4,present_wang_jain2021,0,0.7665506998697916,0.008016679862934152,0.7414957682291666,0.034740752169988336,0.8434487637132406,0.009211995063811514,0.574613744703432,0.09066399356229295,1.5,96,silu,0.05,mean_max,64,3,3,silu,rmsnorm,gated_attention,0.05,0.0003,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.5, ""hidden_bits"": 64, ""learning_rate"": 0.0003, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.001}"
