trial_id,cipher,model,rounds,seed,samples_per_class,pairs_per_sample,difference_profile,difference_member,calibrated_accuracy,accuracy,auc,loss,gate_temperature,gate_hidden_bits,gate_activation,gate_dropout,pairwise_pooling,spn_token_dim,spn_mixer_depth,spn_token_mlp_ratio,expert_activation,expert_norm,spn_pooling,expert_dropout,learning_rate,weight_decay,optimizer,config_json
20,PRESENT-80,moe_v5_soft,5,20260626,32768,4,present_wang_jain2021,0,0.801116943359375,0.79656982421875,0.8786459807306528,0.45373459067195654,1.0,96,silu,0.0,mean_max,128,4,2,gelu,rmsnorm,gated_attention,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.0, ""hidden_bits"": 96, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 4, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
13,PRESENT-80,moe_v5_soft,5,20260619,32768,4,present_wang_jain2021,0,0.799468994140625,0.788848876953125,0.8758586756885052,0.4548413781449199,1.0,96,silu,0.0,mean_max,64,4,2,silu,rmsnorm,attention_mean_max,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.0, ""hidden_bits"": 96, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 4, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
1,PRESENT-80,moe_v5_soft,5,20260607,32768,4,present_wang_jain2021,0,0.79693603515625,0.777557373046875,0.8742712773382664,0.48489234037697315,1.0,32,silu,0.05,mean_max,96,4,2,gelu,rmsnorm,attention_mean_max,0.0,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 32, ""gate_temperature"": 1.0, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 4, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
7,PRESENT-80,moe_v5_soft,5,20260613,32768,4,present_wang_jain2021,0,0.7935791015625,0.759918212890625,0.8735201228410006,0.5250679720193148,1.5,64,silu,0.0,mean,64,2,2,silu,rmsnorm,gated_attention,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 64, ""gate_temperature"": 1.5, ""hidden_bits"": 64, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 64, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
16,PRESENT-80,moe_v5_soft,5,20260622,32768,4,present_wang_jain2021,0,0.793548583984375,0.780303955078125,0.8716960437595844,0.4674613857641816,0.75,96,silu,0.0,mean,128,2,2,gelu,layernorm,gated_attention,0.0,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""layernorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 96, ""gate_temperature"": 0.75, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""gated_attention"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
2,PRESENT-80,moe_v5_soft,5,20260608,32768,4,present_wang_jain2021,0,0.79290771484375,0.7757568359375,0.8685227166861296,0.4906103517860174,0.75,64,silu,0.05,mean_max,128,3,3,silu,rmsnorm,attention_mean_max,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""silu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 64, ""gate_temperature"": 0.75, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
19,PRESENT-80,moe_v5_soft,5,20260625,32768,4,present_wang_jain2021,0,0.791900634765625,0.78857421875,0.8720112480223179,0.44975210074335337,1.0,32,relu,0.0,mean,128,3,2,gelu,rmsnorm,attention_mean_max,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 32, ""gate_temperature"": 1.0, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.0001}"
10,PRESENT-80,moe_v5_soft,5,20260616,32768,4,present_wang_jain2021,0,0.791107177734375,0.7783203125,0.8661968782544136,0.4741258108988404,1.5,96,relu,0.05,mean,128,2,2,gelu,rmsnorm,attention_mean_max,0.05,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.05, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.5, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 128, ""spn_token_mlp_ratio"": 2, ""weight_decay"": 0.001}"
18,PRESENT-80,moe_v5_soft,5,20260624,32768,4,present_wang_jain2021,0,0.79107666015625,0.72064208984375,0.8667657896876335,0.6076410003006458,0.75,96,relu,0.05,mean,96,2,3,silu,rmsnorm,attention_mean_max,0.0,0.001,0.001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""silu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.05, ""gate_hidden_bits"": 96, ""gate_temperature"": 0.75, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 2, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.001}"
6,PRESENT-80,moe_v5_soft,5,20260612,32768,4,present_wang_jain2021,0,0.78985595703125,0.783843994140625,0.8689738567918539,0.4559857798740268,1.5,96,relu,0.0,mean_max,96,3,3,gelu,rmsnorm,attention_mean_max,0.0,0.001,0.0001,adamw,"{""cipher"": ""present80"", ""difference_member"": 0, ""difference_profile"": ""present_wang_jain2021"", ""expert_activation"": ""gelu"", ""expert_dropout"": 0.0, ""expert_norm"": ""rmsnorm"", ""feature_encoding"": ""ciphertext_pair_xor_bits"", ""gate_activation"": ""relu"", ""gate_dropout"": 0.0, ""gate_hidden_bits"": 96, ""gate_temperature"": 1.5, ""hidden_bits"": 48, ""learning_rate"": 0.001, ""model"": ""moe_v5_soft"", ""optimizer"": ""adamw"", ""pairs_per_sample"": 4, ""pairwise_pooling"": ""mean_max"", ""rounds"": 5, ""samples_per_class"": 32768, ""spn_mixer_depth"": 3, ""spn_pooling"": ""attention_mean_max"", ""spn_token_dim"": 96, ""spn_token_mlp_ratio"": 3, ""weight_decay"": 0.0001}"
