cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer_pairset,2,40,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Best current SPN-specific token mixer expert,Innovation-one SPN token-mixer expert
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Hard,moe_v5_hard,structure_expert_moe,4,38,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure expert MoE with fixed SPN TokenMixer prior,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,0,42,5,0,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,Pairwise-Adaptive-DBitNet,adaptive_dbitnet_pairwise,pairwise_adaptive_dbitnet,1,30,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Strong pairwise adaptive DBitNet baseline,Multi-pair neural distinguisher / DBitNet-style
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer_pairset,2,40,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Best current SPN-specific token mixer expert,Innovation-one SPN token-mixer expert
PRESENT-80,SPN,MoE-v4-Soft,moe_v4_soft,structure_adapter_moe,3,20,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Previous structure-adapter MoE without SPN TokenMixer expert,Innovation-one structure-aware MoE v4
PRESENT-80,SPN,MoE-v5-Hard,moe_v5_hard,structure_expert_moe,4,38,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Structure expert MoE with fixed SPN TokenMixer prior,Innovation-one structure-expert MoE v5
PRESENT-80,SPN,MoE-v5-Soft,moe_v5_soft,structure_expert_moe,0,42,5,1,32768,4,ciphertext_pair_xor_bits,present_wang_jain2021,0,Trainable structure expert MoE including SPN TokenMixer,Innovation-one structure-expert MoE v5
