cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7899627686,0.0010223389,0.8001098633,0.007232666,0.8001098633,0.007232666,0.8718595002,0.0070874654,0.5799255371,0.0020446777,0.6002197266,0.014465332,0.5977190621,0.0291079376
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.9016113281,0.0092773438,0.9110717773,6.10352e-05,0.9110717773,6.10352e-05,0.9653414898,0.0005018692,0.8032226562,0.0185546875,0.8221435547,0.0001220703,0.3400352397,0.0194774796
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9659423828,0.008605957,0.9747161865,1.52588e-05,0.9747161865,1.52588e-05,0.9961023545,4.69936e-05,0.9318847656,0.0172119141,0.949432373,3.05176e-05,0.1397857781,0.0250250298
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5755310059,0.0203857422,0.5813598633,0.0190429688,0.5813598633,0.0190429688,0.6091652028,0.0238687061,0.1510620117,0.0407714844,0.1627197266,0.0380859375,0.9145756532,0.062391527
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.6849365234,0.0072937012,0.6918334961,0.0051574707,0.6918334961,0.0051574707,0.7526442427,0.0062579587,0.3698730469,0.0145874023,0.3836669922,0.0103149414,0.7110188343,0.0618215539
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7694091797,0.0052185059,0.7756347656,0.0003051758,0.7756347656,0.0003051758,0.8525176737,0.0012963638,0.5388183594,0.0104370117,0.5512695312,0.0006103516,0.5797842103,0.0130551797
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,3,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.8023376465,0.0038757324,0.8135681152,0.0027160645,0.8135681152,0.0027160645,0.8844625438,0.0024315687,0.604675293,0.0077514648,0.6271362305,0.0054321289,0.6073302175,0.0267844503
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,3,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,2,2,0.9110565186,7.62939e-05,0.9123535156,0.0002441406,0.9123535156,0.0002441406,0.9658215027,0.0004093628,0.8221130371,0.0001525879,0.8247070312,0.0004882812,0.3168116244,0.0022465228
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,3,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,2,0.9711303711,0.002166748,0.9752807617,0.0009460449,0.9752807617,0.0009460449,0.9959787969,0.0003743321,0.9422607422,0.0043334961,0.9505615234,0.0018920898,0.1183031151,0.0025834382
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,3,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.602935791,0.0020141602,0.6050872803,0.0006866455,0.6050872803,0.0006866455,0.6406012271,0.0030358061,0.205871582,0.0040283203,0.2101745605,0.001373291,0.8549519842,0.0270102629
