cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,0,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=4,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,1,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=4,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,2,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=4,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,0,8192,8,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=8,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,1,8192,8,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=8,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,2,8192,8,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=8,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,0,8192,16,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=16,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,1,8192,16,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=16,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,6,2,8192,16,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r6 Inception-MCND medium baseline m=16,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,7,0,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND medium baseline m=4,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
PRESENT-80,SPN,Present-Inception-MCND,present_inception_mcnd,present_inception_mcnd,0,86,7,1,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 r7 Inception-MCND medium baseline m=4,Zhang/Wang 2022 PRESENT differential-neural Inception-MCND baseline; innovation-one reproduction scaffold
