cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,0,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,1,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,0,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,1,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,1,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,1,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,2,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,1,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,2,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,3,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,1,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,3,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,4,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,1,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,4,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,80,7,0,4096,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,plaintext_integral_nibble,5,present_wang_jain2021,0,PRESENT-80 r7 P-aligned differential-integral active nibble scan gpu0,Innovation-one P-layer aligned differential-integral active-nibble scan; Wang/Jain PRESENT differential profile
