cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,feature_encoding,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-Raw-Independent-r6-s0,0,118,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_mcnd_cell_matrix_bits,1,0.5019226074,0.0,0.5054321289,0.0,0.5054321289,0.0,0.5016517453,0.0,0.0038452148,0.0,0.0108642578,0.0,0.6931416122,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-Raw-Independent-r6-s1,0,118,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_mcnd_cell_matrix_bits,1,0.5033569336,0.0,0.508026123,0.0,0.508026123,0.0,0.5043633208,0.0,0.0067138672,0.0,0.0160522461,0.0,0.6931263218,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-Raw-Independent-r7-s0,0,118,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_mcnd_cell_matrix_bits,1,0.5017700195,0.0,0.5061340332,0.0,0.5061340332,0.0,0.5048616063,0.0,0.0035400391,0.0,0.0122680664,0.0,0.6931235408,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-Raw-Independent-r7-s1,0,118,Zhang/Wang 2022 Case2 independent-pair protocol calibration; Innovation 1 SPN-aligned ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_mcnd_cell_matrix_bits,1,0.5022583008,0.0,0.5032958984,0.0,0.5032958984,0.0,0.5013546906,0.0,0.0045166016,0.0,0.0065917969,0.0,0.6931461208,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-SPNAligned-Independent-r6-s0,0,122,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.8887634277,0.0,0.8890380859,0.0,0.8890380859,0.0,0.9552188572,0.0,0.7775268555,0.0,0.7780761719,0.0,0.2665135069,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-SPNAligned-Independent-r6-s1,0,122,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.8831176758,0.0,0.8836364746,0.0,0.8836364746,0.0,0.9523033425,0.0,0.7662353516,0.0,0.7672729492,0.0,0.2746999636,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-SPNAligned-Independent-r7-s0,0,122,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.6024169922,0.0,0.6053466797,0.0,0.6053466797,0.0,0.6442790199,0.0,0.2048339844,0.0,0.2106933594,0.0,0.6573029496,0.0
PRESENT-80,SPN,present_inception_mcnd_global_matrix,Present-GlobalMatrix-SPNAligned-Independent-r7-s1,0,122,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.5921325684,0.0,0.5926818848,0.0,0.5926818848,0.0,0.6290265266,0.0,0.1842651367,0.0,0.1853637695,0.0,0.6629559593,0.0
PRESENT-80,SPN,present_inception_mcnd_matrix,Present-Matrix-SPNAligned-Independent-r6-s0,1,120,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.9189147949,0.0,0.9192504883,0.0,0.9192504883,0.0,0.9742527865,0.0,0.8378295898,0.0,0.8385009766,0.0,0.2058785134,0.0
PRESENT-80,SPN,present_inception_mcnd_matrix,Present-Matrix-SPNAligned-Independent-r6-s1,1,120,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,6,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.9151916504,0.0,0.9161071777,0.0,0.9161071777,0.0,0.9718328975,0.0,0.8303833008,0.0,0.8322143555,0.0,0.2121169274,0.0
PRESENT-80,SPN,present_inception_mcnd_matrix,Present-Matrix-SPNAligned-Independent-r7-s0,1,120,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.5,0.0,0.5073852539,0.0,0.5073852539,0.0,0.5079437699,0.0,0.0,0.0,0.0147705078,0.0,0.6931470148,0.0
PRESENT-80,SPN,present_inception_mcnd_matrix,Present-Matrix-SPNAligned-Independent-r7-s1,1,120,Zhang/Wang 2022 Case2 independent-pair protocol; Innovation 1 P-layer inverse alignment ablation,7,present_zhang_wang2022_mcnd,0,Zhang/Wang 2022 PRESENT Inception-MCND differential-neural distinguisher,,32768,16,present_pair_xor_paligned_cell_matrix_bits,1,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6931471825,0.0
