cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,0,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,1,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,2,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,3,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,4,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,5,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,6,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,7,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,8,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,9,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,3,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,4,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,5,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,6,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,7,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,8,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,70,5,9,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,present_wang_jain2021,0,Strict cross-key encrypted-negative 10-seed validation for SPN aligned input,Innovation-one SPN structure-aligned neural differential distinguisher
