cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.7780609131,0.0066070557,0.8065185547,0.0021057129,0.8065185547,0.0021057129,0.8775712661,0.0020496789,0.5561218262,0.0132141113,0.6130371094,0.0042114258,0.7349837329,0.0317099188
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8940887451,0.0069122314,0.909286499,0.0007781982,0.909286499,0.0007781982,0.9636377301,0.0002670493,0.7881774902,0.0138244629,0.818572998,0.0015563965,0.3968582135,0.0446381029
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9716796875,0.000213623,0.9739685059,3.05176e-05,0.9739685059,3.05176e-05,0.9951618789,0.000313594,0.943359375,0.0004272461,0.9479370117,6.10352e-05,0.1126959773,0.0024779544
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.5477142334,0.0008087158,0.5539550781,0.0005493164,0.5539550781,0.0005493164,0.5724870879,0.0006301757,0.0954284668,0.0016174316,0.1079101562,0.0010986328,1.3105970994,0.0011639148
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.673538208,0.0015716553,0.6744232178,0.0014801025,0.6744232178,0.0014801025,0.727935846,0.0030145524,0.347076416,0.0031433105,0.3488464355,0.0029602051,0.7839950435,0.0200425163
PRESENT-80,SPN,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.7503051758,0.0061035156,0.770324707,0.0026550293,0.770324707,0.0026550293,0.8481640453,0.0017224653,0.5006103516,0.0122070312,0.5406494141,0.0053100586,0.6381867416,0.0100750998
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.7923431396,0.0124053955,0.8040313721,0.0012664795,0.8040313721,0.0012664795,0.8714544652,6.1141e-06,0.5846862793,0.024810791,0.6080627441,0.002532959,0.6728198491,0.0171618275
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,2,2,0.903717041,0.0,0.9058685303,0.0011444092,0.9058685303,0.0011444092,0.9614270208,0.0016612345,0.807434082,0.0,0.8117370605,0.0022888184,0.3757175356,0.0335209966
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,2,0.9709014893,0.0016021729,0.9742279053,0.0006256104,0.9742279053,0.0006256104,0.9956463929,0.0002376456,0.9418029785,0.0032043457,0.9484558105,0.0012512207,0.1184284368,0.0019771375
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,1,2,0.5328521729,0.0005950928,0.543182373,0.0073547363,0.543182373,0.0073547363,0.5596415056,0.0096584251,0.0657043457,0.0011901855,0.0863647461,0.0147094727,1.3313075751,0.013000533
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,2,2,0.6705169678,0.0043792725,0.6741943359,0.0054016113,0.6741943359,0.0054016113,0.7320370944,0.0089310342,0.3410339355,0.0087585449,0.3483886719,0.0108032227,0.7996545564,0.0252984557
PRESENT-80,SPN,moe_v4_soft,MoE-v4-Soft,2,20,Innovation-one structure-aware MoE,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,soft,32768,4,2,0.7668457031,0.0108032227,0.771697998,0.0063781738,0.771697998,0.0063781738,0.8477834612,0.0058568008,0.5336914062,0.0216064453,0.5433959961,0.0127563477,0.5948419254,0.0573697109
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.6924743652,0.0108032227,0.7036895752,0.0017242432,0.7036895752,0.0017242432,0.7593828244,0.0051734941,0.3849487305,0.0216064453,0.4073791504,0.0034484863,0.8624601383,0.0092662182
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,2,2,0.8276824951,0.0047454834,0.8357849121,0.0028381348,0.8357849121,0.0028381348,0.9000704717,0.0034509245,0.6553649902,0.0094909668,0.6715698242,0.0056762695,0.6481914502,0.0148204695
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,4,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.9283294678,0.0045928955,0.9323272705,0.0008392334,0.9323272705,0.0008392334,0.9757743143,0.0004909001,0.8566589355,0.009185791,0.864654541,0.0016784668,0.3214356005,0.0081865229
PRESENT-80,SPN,structure_adaptive_pairset_dbitnet,StructureAdaptive-PairSet-DBitNet,0,34,Innovation-one structure-adaptive pair-set DBitNet,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,1,2,0.526184082,6.10352e-05,0.5307006836,0.0003356934,0.5307006836,0.0003356934,0.5403190451,0.0010701837,0.0523681641,0.0001220703,0.0614013672,0.0006713867,0.9539513476,0.0336161777
